"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"4427366","105568","66","Iowa State","Big 12","New York","2022","36","2","4","Breece Hall","Running Back","71","217","30","1","88","Wichita","KS","USA","37.6922361","-97.3375448","20173"
"4567048","105686","127","Michigan State","Big Ten","Seattle","2022","41","2","9","Ken Walker III","Running Back","69","211","44","2","86","Arlington","TN","USA","35.2964487","-89.6617313","47157"
"4379399","105713","61","Georgia","SEC","Buffalo","2022","63","2","31","James Cook","Running Back","71","199","86","3","75","Miami","FL","USA","25.7742658","-80.1936589","12086"
"4697815","105717","9","Arizona State","Pac-12","Tampa Bay","2022","91","3","27","Rachaad White","Running Back","72","214","135","10","64","","","","","",""
"4426475","106118","99","LSU","SEC","San Francisco","2022","93","3","29","Tyrion Davis-Price","Running Back","72","211","175","14","58","Baton Rouge","LA","USA","30.4459596","-91.18738","22033"
"4241474","105694","333","Alabama","SEC","Washington","2022","98","3","34","Brian Robinson Jr.","Running Back","74","225","93","5","73","Tuscaloosa","AL","USA","33.2095614","-87.5675258","01125"
"4360238","105918","57","Florida","SEC","Houston","2022","107","4","2","Dameon Pierce","Running Back","70","218","96","6","72","Bainbridge","GA","USA","30.9038252","-84.5754768","13087"
"4361777","105666","61","Georgia","SEC","Las Vegas","2022","122","4","17","Zamir White","Running Back","72","214","97","7","71","Laurinburg","NC","USA","34.7740495","-79.4628248","37165"
"4426891","105581","245","Texas A&M","SEC","Los Angeles","2022","123","4","18","Isaiah Spiller","Running Back","72","217","89","4","74","Spring","TX","USA","30.0798826","-95.4172549","48201"
"4249836","105636","2571","South Dakota State","MVFC","New England","2022","127","4","22","Pierre Strong Jr.","Running Back","71","207","143","11","63","Little Rock","AR","USA","34.7464809","-92.2895948","05119"
"4372071","105910","130","Michigan","Big Ten","Tennessee","2022","131","4","26","Hassan Haskins","Running Back","74","228","156","12","60","Eureka","MO","USA","38.5025537","-90.6279044","29189"
"4373626","106082","252","BYU","FBS Independents","Atlanta","2022","151","5","8","Tyler Allgeier","Running Back","71","224","290","26","40","Fontana","CA","USA","34.0922335","-117.435048","06071"
"4567246","106128","145","Ole Miss","SEC","Jacksonville","2022","154","5","11","Snoop Conner","Running Back","70","222","228","19","49","Hattiesburg","MS","USA","31.3271189","-89.2903392","28035"
"4372019","105896","2132","Cincinnati","American Athletic","Cleveland","2022","156","5","13","Jerome Ford","Running Back","71","210","134","9","65","Seffner","FL","USA","27.998541000000003","-82.27488400114905","12057"
"4430737","105597","87","Notre Dame","FBS Independents","Los Angeles","2022","164","5","21","Kyren Williams","Running Back","69","194","163","13","59","Saint Louis","MO","USA","38.6264178","-90.1998378","29510"
"4242431","106068","153","North Carolina","ACC","Minnesota","2022","169","5","26","Ty Chandler","Running Back","71","204","132","8","66","Nashville","TN","USA","36.1622296","-86.7743531","47037"
"4570674","106147","2579","South Carolina","SEC","New England","2022","183","6","4","Kevin Harris","Running Back","70","221","236","20","48","Hinesville","GA","USA","31.8477298","-81.5960354","13179"
"4362748","106050","142","Missouri","SEC","Baltimore","2022","196","6","18","Tyler Badie","Running Back","68","197","218","17","51","Memphis","TN","USA","35.1490215","-90.0516285","47157"
"4362087","105999","30","USC","Pac-12","Arizona","2022","201","6","23","Keaontay Ingram","Running Back","72","221","242","21","47","Carthage","TX","USA","32.1570412","-94.338114","48365"
"4259169","106239","239","Baylor","Big 12","Chicago","2022","203","6","25","Trestan Ebner","Running Back","71","206","334","31","34","Henderson","TX","USA","32.1532157","-94.7993802","48401"
"4036032","106266","26","UCLA","Pac-12","Las Vegas","2022","250","7","29","Brittain Brown","Running Back","73","205","","","","Canton","GA","USA","34.2367621","-84.4907621","13057"
"4361529","105996","164","Rutgers","Big Ten","Kansas City","2022","251","7","30","Isaih Pacheco","Running Back","70","216","299","27","39","Vineland","NJ","USA","39.4862777","-75.0254256","34011"
