"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"4242214","104430","99","LSU","SEC","Kansas City","2020","32","1","32","Clyde Edwards-Helaire","Running Back","67","207","28","3","88","Baton Rouge","LA","USA","30.4459596","-91.18738","22033"
"4259545","104118","61","Georgia","SEC","Detroit","2020","35","2","3","D'Andre Swift","Running Back","68","212","18","1","91","Philadelphia","PA","USA","39.9527237","-75.1635262","42101"
"4242335","104139","275","Wisconsin","Big Ten","Indianapolis","2020","41","2","9","Jonathan Taylor","Running Back","70","226","34","4","87","Salem","NJ","USA","39.5717796","-75.4671423","34033"
"4240021","104135","52","Florida State","ACC","Los Angeles","2020","52","2","20","Cam Akers","Running Back","70","217","55","5","81","Clinton","MS","USA","32.3415342","-90.3217585","28049"
"4241985","104134","194","Ohio State","Big Ten","Baltimore","2020","55","2","23","J.K. Dobbins","Running Back","70","209","27","2","89","La Grange","TX","USA","29.9080038","-96.8730449","48149"
"4239934","104155","103","Boston College","ACC","Green Bay","2020","62","2","30","AJ Dillon","Running Back","72","247","90","8","71","New London","CT","USA","41.3556187","-72.0997804","09011"
"3917612","104144","238","Vanderbilt","SEC","Tampa Bay","2020","76","3","12","Ke'Shawn Vaughn","Running Back","70","214","99","9","70","Antioch","TN","USA","36.0806394","-83.7799037","47093"
"4035676","104222","254","Utah","Pac-12","Buffalo","2020","86","3","22","Zack Moss","Running Back","69","223","57","6","80","Hialeah Gardens","FL","USA","25.8906709","-80.36417428815967","12086"
"4036431","104463","2026","Appalachian State","Sun Belt","Tennessee","2020","93","3","29","Darrynton Evans","Running Back","70","203","137","11","60","Oak Hill","FL","USA","28.8644338","-80.8544975","12127"
"3910544","104536","26","UCLA","Pac-12","Los Angeles","2020","112","4","6","Joshua Kelley","Running Back","71","212","166","13","55","Lancaster","CA","USA","34.6981064","-118.1366153","06037"
"4034952","104226","57","Florida","SEC","New York","2020","120","4","14","La'Mical Perine","Running Back","71","216","72","7","75","Mobile","AL","USA","30.6943566","-88.0430541","01097"
"4241941","104443","120","Maryland","Big Ten","Pittsburgh","2020","124","4","18","Anthony McFarland Jr.","Running Back","68","208","182","15","52","Hyattsville","MD","USA","38.9529442","-76.9408647","24033"
"4240631","104487","2390","Miami","ACC","Seattle","2020","144","4","38","DeeJay Dallas","Running Back","70","217","154","12","57","Brunswick","GA","USA","31.1499528","-81.4914894","13127"
"4040790","104682","166","New Mexico State","FBS Independents","Detroit","2020","172","5","27","Jason Huntley","Running Back","68","190","","","","Arlington","TX","USA","32.701938999999996","-97.10562379033699","48439"
"4242873","104448","9","Arizona State","Pac-12","Arizona","2020","222","7","8","Eno Benjamin","Running Back","69","207","180","14","53","Wylie","TX","USA","33.0151201","-96.5388789","48085"
"4040732","104508","309","Louisiana","Sun Belt","Tampa Bay","2020","245","7","31","Raymond Calais","Running Back","68","188","254","24","38","Breaux Bridge","LA","USA","30.2735323","-91.8992837","22099"
